DiffId;Project;Commit;SrcFile;DstFile;Matcher;SrcStart;SrcEnd;DstStart;DstEnd;NodeType;Action;Result
244690;hbase;09cf0a100f19517653806511b6b64e02fe5d31f8;src/java/org/apache/hadoop/hbase/HClient.java;src/java/org/apache/hadoop/hbase/HClient.java;MTDIFF;834;834;887;887;43;UPD;Ok
203009;hbase;0a28af366b779489127a8d896a2f97df88cf539a;hbase-server/src/main/java/org/apache/hadoop/hbase/util/SortedCopyOnWriteSet.java;hbase-server/src/main/java/org/apache/hadoop/hbase/util/SortedCopyOnWriteSet.java;MTDIFF;28;28;28;28;40;UPD;Ok
165398;eclipse.jdt.core;0adf7a4e0894d18d3979e493aafe00dfa5c14f8d;org.eclipse.jdt.core.tests.builder/src/org/eclipse/jdt/core/tests/builder/TestingEnvironment.java;org.eclipse.jdt.core.tests.builder/src/org/eclipse/jdt/core/tests/builder/TestingEnvironment.java;MTDIFF;140;140;145;145;42;UPD;Nok
302270;hibernate-orm;0c5526f724551edb2d518d822521651172fe13f0;hibernate-core/src/test/java/org/hibernate/test/annotations/fetchprofile/FetchProfileTest.java;hibernate-core/src/test/java/org/hibernate/test/annotations/fetchprofile/FetchProfileTest.java;MTDIFF;114;114;115;115;42;UPD;Ok
387775;spring-roo;0d09206945c539c9d60776ce1c1cf9b32459db56;addon-dbre/src/main/java/org/springframework/roo/addon/dbre/DbreMetadata.java;addon-dbre/src/main/java/org/springframework/roo/addon/dbre/DbreMetadata.java;MTDIFF;244;244;245;245;42;UPD;Ok
174386;eclipse.jdt.core;0e8ca24e8451f1d91ed53a269d184ea21d12301f;org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/DeclarationOfReferencedTypesPattern.java;org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/DeclarationOfReferencedTypesPattern.java;MTDIFF;38;38;38;38;43;UPD;Ok
206455;hbase;0e8e41d0ef5985aa3d424621eb8fcb1ca68838ab;hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/SimpleRpcScheduler.java;hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/SimpleRpcScheduler.java;MTDIFF;133;133;164;164;42;UPD;Ok
80268;commons-math;0ec92a0fc205fb0704d3b9032b88ebb0d4e561a9;src/main/java/org/apache/commons/math/transform/FastCosineTransformer.java;src/main/java/org/apache/commons/math/transform/FastCosineTransformer.java;MTDIFF;243;243;244;244;42;UPD;Ok
80296;commons-math;0ec92a0fc205fb0704d3b9032b88ebb0d4e561a9;src/test/java/org/apache/commons/math/analysis/ComposableFunctionTest.java;src/test/java/org/apache/commons/math/analysis/ComposableFunctionTest.java;MTDIFF;111;111;112;112;42;UPD;Ok
80339;commons-math;0ec92a0fc205fb0704d3b9032b88ebb0d4e561a9;src/test/java/org/apache/commons/math/geometry/RotationTest.java;src/test/java/org/apache/commons/math/geometry/RotationTest.java;MTDIFF;251;251;252;252;42;UPD;Ok
238799;hbase;0f0a133abf286af7846387c2c9b0fa45e5b453cb;src/java/org/apache/hadoop/hbase/regionserver/Memcache.java;src/java/org/apache/hadoop/hbase/regionserver/Memcache.java;MTDIFF;603;603;605;605;42;UPD;Ok
116858;eclipse.jdt.core;0f3bb2f63b9bc5a0a723cb21573a9214f49a822c;org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaSearchFineGrainTests.java;org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaSearchFineGrainTests.java;MTDIFF;863;863;863;863;45;UPD;Ok
163931;eclipse.jdt.core;0fb012af3c6557520ab00415c58833602b027192;org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaElementDeltaTests.java;org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaElementDeltaTests.java;MTDIFF;567;567;567;567;45;UPD;Ok
