diffid;name;srcnodes;dstnodes;actions;name
337542;MtDiff;445;445;7;hibernate-search
337528;MtDiff;285;285;4;hibernate-search
337591;MtDiff;2804;3171;467;hibernate-search
337527;MtDiff;342;342;4;hibernate-search
337559;MtDiff;295;295;4;hibernate-search
337539;MtDiff;223;223;4;hibernate-search
337529;MtDiff;2687;2804;345;hibernate-search
337550;MtDiff;316;316;4;hibernate-search
337549;MtDiff;207;207;4;hibernate-search
337563;MtDiff;332;332;10;hibernate-search
337598;MtDiff;350;350;82;hibernate-search
337545;MtDiff;133;139;24;hibernate-search
337547;MtDiff;107;113;24;hibernate-search
337548;MtDiff;1;95;96;hibernate-search
337536;MtDiff;572;572;78;hibernate-search
337556;MtDiff;103;109;24;hibernate-search
337555;MtDiff;207;214;22;hibernate-search
337561;MtDiff;260;266;24;hibernate-search
337572;MtDiff;285;285;0;hibernate-search
337579;MtDiff;295;295;0;hibernate-search
337575;MtDiff;139;159;20;hibernate-search
337585;MtDiff;332;330;3;hibernate-search
337582;MtDiff;205;207;3;hibernate-search
337577;MtDiff;70;63;7;hibernate-search
337587;MtDiff;293;295;3;hibernate-search
337149;MtDiff;391;421;45;hibernate-search
337150;MtDiff;232;238;32;hibernate-search
337158;MtDiff;313;315;39;hibernate-search
337159;MtDiff;32;37;11;hibernate-search
337182;MtDiff;327;290;192;hibernate-search
337241;MtDiff;480;480;1;hibernate-search
337231;MtDiff;1048;1048;1;hibernate-search
337302;MtDiff;396;395;24;hibernate-search
337142;MtDiff;4108;4051;57;hibernate-search
337333;MtDiff;802;803;21;hibernate-search
337311;MtDiff;32;37;11;hibernate-search
337322;MtDiff;350;353;21;hibernate-search
337341;MtDiff;819;820;22;hibernate-search
337317;MtDiff;1323;1323;1;hibernate-search
337329;MtDiff;1661;1661;1;hibernate-search
337321;MtDiff;299;300;23;hibernate-search
337325;MtDiff;1;231;232;hibernate-search
337327;MtDiff;529;530;23;hibernate-search
337339;MtDiff;2215;2215;1;hibernate-search
337347;MtDiff;259;256;3;hibernate-search
337189;MtDiff;4511;4528;18;hibernate-search
337363;MtDiff;1169;1166;3;hibernate-search
337358;MtDiff;278;229;85;hibernate-search
337368;MtDiff;608;652;96;hibernate-search
337352;MtDiff;66;64;5;hibernate-search
337374;MtDiff;747;741;7;hibernate-search
337169;MtDiff;4489;4511;22;hibernate-search
337379;MtDiff;385;389;73;hibernate-search
337369;MtDiff;204;206;40;hibernate-search
337394;MtDiff;1340;1351;35;hibernate-search
337402;MtDiff;335;329;7;hibernate-search
337393;MtDiff;20;1;19;hibernate-search
337415;MtDiff;535;11;531;hibernate-search
337477;MtDiff;100;98;2;hibernate-search
337488;MtDiff;802;802;1;hibernate-search
337495;MtDiff;893;893;4;hibernate-search
337411;MtDiff;4362;4361;24;hibernate-search
337521;MtDiff;679;679;3;hibernate-search
337519;MtDiff;27;27;1;hibernate-search
337522;MtDiff;157;157;0;hibernate-search
337523;MtDiff;315;321;8;hibernate-search
337526;MtDiff;364;380;26;hibernate-search
337538;MtDiff;92;92;4;hibernate-search
337554;MtDiff;79;1;78;hibernate-search
337570;MtDiff;314;315;3;hibernate-search
337573;MtDiff;362;364;4;hibernate-search
337564;MtDiff;373;374;5;hibernate-search
337584;MtDiff;542;572;47;hibernate-search
337630;MtDiff;53;53;0;hibernate-search
337632;MtDiff;63;64;1;hibernate-search
337635;MtDiff;258;259;1;hibernate-search
337639;MtDiff;397;401;4;hibernate-search
337634;MtDiff;82;82;0;hibernate-search
337633;MtDiff;82;82;0;hibernate-search
337652;MtDiff;1;39;40;hibernate-search
337656;MtDiff;883;871;65;hibernate-search
337654;MtDiff;1;71;72;hibernate-search
337704;MtDiff;2535;2599;100;hibernate-search
337657;MtDiff;51;43;8;hibernate-search
337660;MtDiff;4;4;0;hibernate-search
337659;MtDiff;62;62;2;hibernate-search
337661;MtDiff;1;64;65;hibernate-search
337662;MtDiff;143;120;23;hibernate-search
337666;MtDiff;1;62;63;hibernate-search
337668;MtDiff;245;1;244;hibernate-search
338497;MtDiff;1;12;13;hibernate-search
339225;MtDiff;47;47;0;hibernate-search
339221;MtDiff;74;74;0;hibernate-search
339231;MtDiff;47;47;0;hibernate-search
339234;MtDiff;14;14;0;hibernate-search
339257;MtDiff;334;334;0;hibernate-search
339256;MtDiff;157;157;0;hibernate-search
339259;MtDiff;104;104;0;hibernate-search
339278;MtDiff;131;131;0;hibernate-search
339274;MtDiff;433;433;0;hibernate-search
339284;MtDiff;17;17;0;hibernate-search
339286;MtDiff;16;16;0;hibernate-search
339309;MtDiff;71;71;0;hibernate-search
339296;MtDiff;40;40;0;hibernate-search
339297;MtDiff;38;38;0;hibernate-search
339300;MtDiff;74;74;0;hibernate-search
339302;MtDiff;110;110;0;hibernate-search
339305;MtDiff;94;94;0;hibernate-search
339320;MtDiff;255;255;0;hibernate-search
339316;MtDiff;127;127;0;hibernate-search
339310;MtDiff;298;298;0;hibernate-search
339311;MtDiff;575;575;0;hibernate-search
339326;MtDiff;49;49;0;hibernate-search
339335;MtDiff;168;168;0;hibernate-search
339328;MtDiff;150;150;0;hibernate-search
339332;MtDiff;221;221;0;hibernate-search
339331;MtDiff;34;34;0;hibernate-search
339334;MtDiff;107;107;0;hibernate-search
339401;MtDiff;23;23;0;hibernate-search
339421;MtDiff;778;778;0;hibernate-search
339407;MtDiff;34;34;0;hibernate-search
339474;MtDiff;17;17;0;hibernate-search
339493;MtDiff;1551;1551;0;hibernate-search
339494;MtDiff;30;30;0;hibernate-search
339495;MtDiff;4;4;0;hibernate-search
339504;MtDiff;154;154;0;hibernate-search
339505;MtDiff;16;16;0;hibernate-search
339526;MtDiff;48;48;0;hibernate-search
339525;MtDiff;17;17;0;hibernate-search
339552;MtDiff;54;54;0;hibernate-search
339567;MtDiff;1748;1748;0;hibernate-search
339557;MtDiff;114;114;0;hibernate-search
337357;MtDiff;534;521;23;hibernate-search
337349;MtDiff;335;356;21;hibernate-search
337354;MtDiff;302;299;9;hibernate-search
337362;MtDiff;799;802;11;hibernate-search
337400;MtDiff;350;1;349;hibernate-search
337404;MtDiff;554;598;76;hibernate-search
337395;MtDiff;558;538;20;hibernate-search
337413;MtDiff;137;139;16;hibernate-search
337414;MtDiff;1;11;12;hibernate-search
337426;MtDiff;1;45;46;hibernate-search
337424;MtDiff;1;278;279;hibernate-search
337431;MtDiff;597;651;64;hibernate-search
337436;MtDiff;343;1;342;hibernate-search
337432;MtDiff;928;1323;404;hibernate-search
337452;MtDiff;843;314;558;hibernate-search
337490;MtDiff;836;836;0;hibernate-search
337447;MtDiff;99;102;8;hibernate-search
337462;MtDiff;278;280;10;hibernate-search
337451;MtDiff;215;231;16;hibernate-search
337454;MtDiff;254;242;38;hibernate-search
337453;MtDiff;1;154;155;hibernate-search
337457;MtDiff;102;106;4;hibernate-search
337461;MtDiff;135;139;5;hibernate-search
337464;MtDiff;118;118;0;hibernate-search
337465;MtDiff;916;928;16;hibernate-search
337474;MtDiff;191;187;6;hibernate-search
337470;MtDiff;95;97;6;hibernate-search
337481;MtDiff;802;802;0;hibernate-search
337486;MtDiff;281;281;5;hibernate-search
337484;MtDiff;350;350;4;hibernate-search
337489;MtDiff;1224;1217;9;hibernate-search
337670;MtDiff;1;96;97;hibernate-search
345343;MtDiff;31;31;0;hibernate-search
345350;MtDiff;51;51;0;hibernate-search
346143;MtDiff;1250;1250;0;hibernate-search
346153;MtDiff;1232;1232;0;hibernate-search
346151;MtDiff;268;268;0;hibernate-search
346142;MtDiff;446;446;0;hibernate-search
346169;MtDiff;33;33;0;hibernate-search
346168;MtDiff;881;881;0;hibernate-search
346173;MtDiff;408;408;0;hibernate-search
346180;MtDiff;223;223;0;hibernate-search
346190;MtDiff;47;47;0;hibernate-search
346191;MtDiff;125;125;0;hibernate-search
346194;MtDiff;138;138;0;hibernate-search
346201;MtDiff;300;300;0;hibernate-search
346205;MtDiff;118;118;0;hibernate-search
346206;MtDiff;129;129;0;hibernate-search
346231;MtDiff;304;304;0;hibernate-search
346212;MtDiff;176;176;0;hibernate-search
346242;MtDiff;162;162;0;hibernate-search
346227;MtDiff;100;100;0;hibernate-search
346234;MtDiff;90;90;0;hibernate-search
346240;MtDiff;75;75;0;hibernate-search
346241;MtDiff;100;100;0;hibernate-search
346280;MtDiff;465;465;0;hibernate-search
346258;MtDiff;69;69;0;hibernate-search
346265;MtDiff;50;50;0;hibernate-search
346274;MtDiff;47;47;0;hibernate-search
346284;MtDiff;460;460;0;hibernate-search
346303;MtDiff;1290;1290;0;hibernate-search
346279;MtDiff;94;94;0;hibernate-search
346285;MtDiff;94;94;0;hibernate-search
346291;MtDiff;67;67;0;hibernate-search
346321;MtDiff;73;73;0;hibernate-search
346330;MtDiff;92;92;0;hibernate-search
346329;MtDiff;578;578;0;hibernate-search
346340;MtDiff;575;575;0;hibernate-search
346326;MtDiff;288;288;0;hibernate-search
346357;MtDiff;17;17;0;hibernate-search
346366;MtDiff;216;216;0;hibernate-search
346362;MtDiff;387;387;0;hibernate-search
346360;MtDiff;1062;1062;0;hibernate-search
346372;MtDiff;56;56;0;hibernate-search
346379;MtDiff;303;303;0;hibernate-search
346377;MtDiff;35;35;0;hibernate-search
346413;MtDiff;1437;1437;0;hibernate-search
346383;MtDiff;304;304;0;hibernate-search
346384;MtDiff;159;159;0;hibernate-search
346385;MtDiff;102;102;0;hibernate-search
346390;MtDiff;234;234;0;hibernate-search
346391;MtDiff;7;7;0;hibernate-search
346403;MtDiff;94;94;0;hibernate-search
346412;MtDiff;108;108;0;hibernate-search
346401;MtDiff;571;571;0;hibernate-search
346420;MtDiff;630;630;0;hibernate-search
346427;MtDiff;269;269;0;hibernate-search
346414;MtDiff;419;419;0;hibernate-search
346430;MtDiff;470;470;0;hibernate-search
346436;MtDiff;175;175;0;hibernate-search
346441;MtDiff;98;98;0;hibernate-search
346442;MtDiff;130;130;0;hibernate-search
346417;MtDiff;317;317;0;hibernate-search
346445;MtDiff;128;128;0;hibernate-search
346447;MtDiff;113;113;0;hibernate-search
346452;MtDiff;418;418;0;hibernate-search
346448;MtDiff;148;148;0;hibernate-search
346464;MtDiff;512;512;0;hibernate-search
346455;MtDiff;202;202;0;hibernate-search
346462;MtDiff;139;139;0;hibernate-search
346474;MtDiff;353;353;0;hibernate-search
346486;MtDiff;615;615;0;hibernate-search
346501;MtDiff;992;992;0;hibernate-search
346479;MtDiff;30;30;0;hibernate-search
346490;MtDiff;321;321;0;hibernate-search
346484;MtDiff;128;128;0;hibernate-search
346485;MtDiff;113;113;0;hibernate-search
337356;MtDiff;810;813;11;hibernate-search
337361;MtDiff;893;897;6;hibernate-search
337375;MtDiff;551;548;6;hibernate-search
337367;MtDiff;284;286;105;hibernate-search
337366;MtDiff;87;41;59;hibernate-search
337381;MtDiff;515;597;87;hibernate-search
337371;MtDiff;1496;1486;20;hibernate-search
337382;MtDiff;385;385;11;hibernate-search
337406;MtDiff;495;515;20;hibernate-search
337391;MtDiff;525;534;30;hibernate-search
337378;MtDiff;149;1;148;hibernate-search
337412;MtDiff;184;405;336;hibernate-search
337396;MtDiff;497;525;45;hibernate-search
337343;MtDiff;3335;3335;1;hibernate-search
337385;MtDiff;421;1;420;hibernate-search
337389;MtDiff;1658;1661;10;hibernate-search
337392;MtDiff;598;609;15;hibernate-search
337390;MtDiff;367;377;14;hibernate-search
337398;MtDiff;127;1;126;hibernate-search
337399;MtDiff;94;1;93;hibernate-search
337401;MtDiff;233;1;232;hibernate-search
337428;MtDiff;340;340;4;hibernate-search
337416;MtDiff;37;49;12;hibernate-search
337418;MtDiff;330;330;4;hibernate-search
337417;MtDiff;1;85;86;hibernate-search
337420;MtDiff;1;128;129;hibernate-search
337435;MtDiff;415;415;4;hibernate-search
337421;MtDiff;1;132;133;hibernate-search
337423;MtDiff;390;445;55;hibernate-search
337422;MtDiff;1;147;148;hibernate-search
337427;MtDiff;1;19;20;hibernate-search
337429;MtDiff;1;34;35;hibernate-search
337430;MtDiff;1;135;136;hibernate-search
337350;MtDiff;2623;2623;1;hibernate-search
337434;MtDiff;319;327;8;hibernate-search
337440;MtDiff;402;367;56;hibernate-search
337438;MtDiff;1;137;138;hibernate-search
337439;MtDiff;119;119;1;hibernate-search
337442;MtDiff;287;288;3;hibernate-search
337443;MtDiff;262;225;42;hibernate-search
337444;MtDiff;251;251;0;hibernate-search
337448;MtDiff;485;476;120;hibernate-search
337450;MtDiff;439;439;0;hibernate-search
337456;MtDiff;1;332;333;hibernate-search
337458;MtDiff;1;339;340;hibernate-search
337463;MtDiff;408;402;8;hibernate-search
337468;MtDiff;172;166;6;hibernate-search
337467;MtDiff;130;130;0;hibernate-search
337469;MtDiff;31;31;0;hibernate-search
337466;MtDiff;98;98;0;hibernate-search
337472;MtDiff;87;87;2;hibernate-search
337478;MtDiff;523;523;4;hibernate-search
337479;MtDiff;1879;1882;57;hibernate-search
337511;MtDiff;1051;1051;3;hibernate-search
337496;MtDiff;209;167;105;hibernate-search
337508;MtDiff;1;467;468;hibernate-search
337507;MtDiff;377;377;11;hibernate-search
337560;MtDiff;1846;1846;6;hibernate-search
337510;MtDiff;1000;992;13;hibernate-search
337512;MtDiff;295;297;7;hibernate-search
337551;MtDiff;658;658;3;hibernate-search
337513;MtDiff;1;84;85;hibernate-search
337530;MtDiff;1051;1051;3;hibernate-search
337517;MtDiff;32;32;1;hibernate-search
337534;MtDiff;1000;1000;26;hibernate-search
337525;MtDiff;156;164;9;hibernate-search
337520;MtDiff;1732;1722;12;hibernate-search
337533;MtDiff;330;330;10;hibernate-search
337537;MtDiff;29;29;1;hibernate-search
337532;MtDiff;523;523;70;hibernate-search
337540;MtDiff;92;92;12;hibernate-search
337566;MtDiff;893;893;13;hibernate-search
337544;MtDiff;119;126;23;hibernate-search
337546;MtDiff;261;267;24;hibernate-search
337557;MtDiff;109;115;24;hibernate-search
337580;MtDiff;431;445;38;hibernate-search
337569;MtDiff;625;625;10;hibernate-search
337583;MtDiff;207;207;0;hibernate-search
337576;MtDiff;322;350;49;hibernate-search
337552;MtDiff;1730;1732;6;hibernate-search
337589;MtDiff;218;226;8;hibernate-search
337595;MtDiff;269;332;67;hibernate-search
337597;MtDiff;271;316;53;hibernate-search
337593;MtDiff;131;205;78;hibernate-search
337602;MtDiff;572;578;9;hibernate-search
337600;MtDiff;127;131;4;hibernate-search
