diffid;name;srcnodes;dstnodes;actions;name
237475;MtDiff;7833;7844;12;hbase
237399;MtDiff;110;104;8;hbase
237416;MtDiff;2425;2416;22;hbase
237405;MtDiff;485;467;18;hbase
237408;MtDiff;960;988;57;hbase
237507;MtDiff;8724;8693;108;hbase
237412;MtDiff;1138;1130;30;hbase
237425;MtDiff;2945;2958;74;hbase
237413;MtDiff;648;622;39;hbase
237414;MtDiff;648;622;39;hbase
237417;MtDiff;1226;1242;38;hbase
237419;MtDiff;932;942;37;hbase
237418;MtDiff;1224;1212;34;hbase
237449;MtDiff;3983;3997;41;hbase
237426;MtDiff;1232;1240;18;hbase
237423;MtDiff;295;291;4;hbase
237437;MtDiff;2251;2254;4;hbase
237436;MtDiff;1342;1330;24;hbase
237483;MtDiff;4082;4064;18;hbase
237509;MtDiff;20538;20536;4;hbase
237431;MtDiff;862;857;13;hbase
237427;MtDiff;250;246;4;hbase
237435;MtDiff;659;657;2;hbase
237434;MtDiff;665;666;1;hbase
237454;MtDiff;968;979;12;hbase
237440;MtDiff;623;628;8;hbase
237443;MtDiff;841;844;5;hbase
237452;MtDiff;1261;1254;15;hbase
237442;MtDiff;1119;1098;37;hbase
237438;MtDiff;375;380;5;hbase
237445;MtDiff;429;426;8;hbase
237450;MtDiff;1666;1664;2;hbase
237462;MtDiff;1541;1537;4;hbase
237446;MtDiff;124;118;8;hbase
237453;MtDiff;570;582;18;hbase
237461;MtDiff;1333;1383;60;hbase
237473;MtDiff;1506;1573;71;hbase
237503;MtDiff;7780;7833;63;hbase
237451;MtDiff;39;56;17;hbase
237458;MtDiff;554;579;34;hbase
237457;MtDiff;458;481;23;hbase
237466;MtDiff;860;900;57;hbase
237456;MtDiff;1;529;530;hbase
237469;MtDiff;644;643;1;hbase
237441;MtDiff;703;695;21;hbase
237455;MtDiff;1278;1279;1;hbase
237460;MtDiff;1109;1110;3;hbase
237499;MtDiff;4536;4558;29;hbase
237464;MtDiff;312;290;22;hbase
237459;MtDiff;255;1;254;hbase
237468;MtDiff;669;669;0;hbase
237465;MtDiff;697;1;696;hbase
237474;MtDiff;378;1507;1130;hbase
237470;MtDiff;493;1;492;hbase
237477;MtDiff;1063;1095;34;hbase
237488;MtDiff;446;446;0;hbase
237481;MtDiff;1;378;379;hbase
237482;MtDiff;295;1;294;hbase
237522;MtDiff;8724;8724;0;hbase
237500;MtDiff;550;590;53;hbase
237551;MtDiff;7773;7764;170;hbase
237506;MtDiff;2251;2251;0;hbase
237559;MtDiff;17713;18489;780;hbase
237542;MtDiff;9232;10000;768;hbase
237504;MtDiff;536;570;34;hbase
237501;MtDiff;116;116;0;hbase
237502;MtDiff;1;115;116;hbase
237525;MtDiff;3912;4082;170;hbase
237527;MtDiff;3856;3912;377;hbase
237513;MtDiff;1279;1433;186;hbase
237533;MtDiff;4483;4536;71;hbase
237514;MtDiff;1158;1279;123;hbase
237535;MtDiff;4160;4225;65;hbase
237521;MtDiff;325;332;10;hbase
237529;MtDiff;2247;2251;6;hbase
237524;MtDiff;968;968;6;hbase
237540;MtDiff;5069;5038;36;hbase
237530;MtDiff;2614;2575;49;hbase
237526;MtDiff;916;894;42;hbase
237558;MtDiff;4474;4475;2;hbase
237597;MtDiff;8750;8723;140;hbase
237537;MtDiff;812;812;1;hbase
237553;MtDiff;5885;5885;1;hbase
237534;MtDiff;356;347;10;hbase
237570;MtDiff;4451;4474;25;hbase
237598;MtDiff;8821;8750;124;hbase
237554;MtDiff;4852;4884;33;hbase
237539;MtDiff;556;650;110;hbase
237557;MtDiff;3856;3856;1;hbase
237541;MtDiff;1109;1109;1;hbase
237546;MtDiff;104;104;0;hbase
237547;MtDiff;4;4;0;hbase
237549;MtDiff;371;371;0;hbase
237571;MtDiff;7765;7773;35;hbase
237576;MtDiff;5038;5069;39;hbase
237561;MtDiff;2575;2614;47;hbase
237578;MtDiff;5781;5781;0;hbase
237567;MtDiff;1865;1865;0;hbase
237562;MtDiff;113;113;0;hbase
237566;MtDiff;377;386;9;hbase
237621;MtDiff;8797;8808;14;hbase
237583;MtDiff;4194;4240;57;hbase
237587;MtDiff;2576;2575;2;hbase
237579;MtDiff;289;289;2;hbase
237577;MtDiff;1;289;290;hbase
237628;MtDiff;4852;4852;1;hbase
237655;MtDiff;8808;8797;13;hbase
237596;MtDiff;2283;2272;13;hbase
237609;MtDiff;2282;2283;22;hbase
237591;MtDiff;215;239;54;hbase
237594;MtDiff;410;412;18;hbase
237595;MtDiff;673;699;27;hbase
237604;MtDiff;1309;1333;29;hbase
237634;MtDiff;4079;4160;110;hbase
237603;MtDiff;215;227;12;hbase
237608;MtDiff;1035;1168;133;hbase
237614;MtDiff;1452;1472;22;hbase
237607;MtDiff;751;751;1;hbase
237606;MtDiff;1;469;470;hbase
237853;MtDiff;4;4;0;hbase
237625;MtDiff;1386;1392;13;hbase
237642;MtDiff;3853;3856;3;hbase
237654;MtDiff;4838;4857;25;hbase
237617;MtDiff;1;312;313;hbase
237622;MtDiff;1861;1865;4;hbase
237641;MtDiff;4978;4976;6;hbase
237620;MtDiff;186;197;11;hbase
237633;MtDiff;2405;2423;31;hbase
237631;MtDiff;2169;2150;28;hbase
237644;MtDiff;4181;4194;23;hbase
237623;MtDiff;1;205;206;hbase
237710;MtDiff;8733;8815;116;hbase
237629;MtDiff;812;1;811;hbase
237700;MtDiff;8815;8808;57;hbase
237630;MtDiff;311;277;34;hbase
237682;MtDiff;4459;4451;8;hbase
237653;MtDiff;5061;4978;83;hbase
237672;MtDiff;7820;7735;95;hbase
237639;MtDiff;1066;1030;82;hbase
237632;MtDiff;389;389;1;hbase
237636;MtDiff;389;389;0;hbase
237706;MtDiff;8763;8733;30;hbase
237635;MtDiff;47;65;18;hbase
237684;MtDiff;555;389;595;hbase
237640;MtDiff;370;377;51;hbase
237643;MtDiff;494;506;15;hbase
237646;MtDiff;756;751;26;hbase
237696;MtDiff;7822;7820;19;hbase
237645;MtDiff;302;293;19;hbase
237647;MtDiff;275;273;2;hbase
237648;MtDiff;222;267;48;hbase
237463;MtDiff;896;1;895;hbase
237467;MtDiff;775;775;0;hbase
237548;MtDiff;20599;20538;61;hbase
237472;MtDiff;478;478;0;hbase
237471;MtDiff;330;330;0;hbase
237476;MtDiff;959;991;34;hbase
237479;MtDiff;1251;1283;34;hbase
237485;MtDiff;1865;1897;34;hbase
237486;MtDiff;1472;1506;36;hbase
237478;MtDiff;563;563;0;hbase
237493;MtDiff;2251;2251;0;hbase
237480;MtDiff;1;936;937;hbase
237487;MtDiff;469;1;468;hbase
237491;MtDiff;1166;1;1165;hbase
237489;MtDiff;194;1;193;hbase
237490;MtDiff;925;1;924;hbase
237492;MtDiff;493;1;492;hbase
237497;MtDiff;1643;1641;2;hbase
237495;MtDiff;252;258;6;hbase
237536;MtDiff;7764;7780;24;hbase
237520;MtDiff;6405;6410;8;hbase
237505;MtDiff;1898;1893;5;hbase
237496;MtDiff;293;289;4;hbase
237498;MtDiff;538;560;25;hbase
237512;MtDiff;1886;1898;17;hbase
237508;MtDiff;332;295;43;hbase
237511;MtDiff;1279;1279;1;hbase
237515;MtDiff;841;843;11;hbase
237543;MtDiff;4329;4483;156;hbase
237538;MtDiff;4884;4884;9;hbase
237516;MtDiff;1220;1158;102;hbase
237518;MtDiff;897;1220;337;hbase
237545;MtDiff;4225;4329;108;hbase
237517;MtDiff;893;897;4;hbase
237519;MtDiff;894;890;4;hbase
237523;MtDiff;895;843;70;hbase
237588;MtDiff;8723;8724;1;hbase
237528;MtDiff;897;895;2;hbase
237531;MtDiff;650;563;100;hbase
237532;MtDiff;444;446;5;hbase
237550;MtDiff;2338;2377;50;hbase
237565;MtDiff;4240;4227;23;hbase
237552;MtDiff;2670;2748;91;hbase
237544;MtDiff;358;349;10;hbase
237613;MtDiff;8808;8821;14;hbase
237602;MtDiff;16945;17713;799;hbase
237581;MtDiff;9306;9232;172;hbase
237934;MtDiff;18489;20599;8498;hbase
237556;MtDiff;839;897;59;hbase
237555;MtDiff;292;292;0;hbase
237560;MtDiff;293;293;0;hbase
237569;MtDiff;550;550;0;hbase
237563;MtDiff;4;4;0;hbase
237564;MtDiff;1;110;111;hbase
237573;MtDiff;1857;1865;8;hbase
237586;MtDiff;6280;6405;125;hbase
237582;MtDiff;2316;2338;75;hbase
237568;MtDiff;352;358;9;hbase
237574;MtDiff;437;475;74;hbase
237580;MtDiff;4451;4451;0;hbase
237572;MtDiff;315;329;21;hbase
237575;MtDiff;602;626;36;hbase
237599;MtDiff;5036;5038;5;hbase
237626;MtDiff;7735;7765;47;hbase
237605;MtDiff;4858;4852;123;hbase
237585;MtDiff;541;516;25;hbase
237584;MtDiff;261;255;6;hbase
237590;MtDiff;885;841;55;hbase
237589;MtDiff;992;944;168;hbase
237593;MtDiff;506;504;4;hbase
237611;MtDiff;3983;3983;1;hbase
237592;MtDiff;43;50;7;hbase
237624;MtDiff;4976;5036;92;hbase
237600;MtDiff;822;885;146;hbase
237601;MtDiff;1163;992;490;hbase
237612;MtDiff;2244;2282;68;hbase
237619;MtDiff;5764;5781;17;hbase
237616;MtDiff;1227;1227;4;hbase
237627;MtDiff;4857;4858;7;hbase
237610;MtDiff;1;133;134;hbase
237615;MtDiff;1;623;624;hbase
237618;MtDiff;292;292;1;hbase
237638;MtDiff;1;304;305;hbase
237637;MtDiff;1;339;340;hbase
237658;MtDiff;3121;3179;58;hbase
237657;MtDiff;1330;1362;78;hbase
237651;MtDiff;504;509;34;hbase
237649;MtDiff;492;490;7;hbase
237650;MtDiff;332;359;27;hbase
237656;MtDiff;1979;1997;20;hbase
237663;MtDiff;1152;1187;38;hbase
237659;MtDiff;410;410;81;hbase
237661;MtDiff;279;299;35;hbase
237670;MtDiff;1619;1635;40;hbase
237675;MtDiff;1146;1158;25;hbase
237666;MtDiff;712;710;2;hbase
